"Origin","Destination","flow"
"Mexico","United States",4635160
"India","United Arab Emirates",1464690
"China","United States",1411541
"India","United States",1339290
"Myanmar","Thailand",1132061
"Bangladesh","India",1069872
"Bangladesh","Saudi Arabia",952215
"Pakistan","Afghanistan",940538
"Zimbabwe","South Africa",888624
"Bangladesh","United Arab Emirates",830603
"Philippines","United States",802286
"Indonesia","Malaysia",737502
"Uzbekistan","Russia",684380
"Kazakhstan","Russia",615885
"El Salvador","United States",598810
"Pakistan","United Arab Emirates",597396
"Morocco","Spain",550412
"Pakistan","Saudi Arabia",548441
"Malaysia","Singapore",539473
