"source","sentiment","total_words","words"
"New","anger",1702,87
"New","anticipation",1702,114
"New","disgust",1702,57
"New","fear",1702,89
"New","joy",1702,100
"New","negative",1702,153
"New","positive",1702,237
"New","sadness",1702,81
"New","surprise",1702,65
"New","trust",1702,170
"Old","anger",773,19
"Old","anticipation",773,35
"Old","disgust",773,16
"Old","fear",773,25
"Old","joy",773,36
"Old","negative",773,38
"Old","positive",773,94
"Old","sadness",773,14
"Old","surprise",773,21
"Old","trust",773,69
