Date_time,unknown,au,ca,de,gb,us
1940,0,0,0,0,0,0
1941,0,0,0,0,0,1
1942,0,0,0,0,0,2
1943,7,0,0,0,1,1
1944,6,0,0,0,0,3
1945,2,0,0,0,0,7
1946,1,0,1,0,0,8
1947,4,0,0,0,0,33
1948,1,0,0,0,0,7
1949,1,0,0,0,0,15
1950,7,0,0,0,0,21
1951,4,0,2,0,1,13
1952,9,0,2,0,1,37
1953,5,0,2,0,0,26
1954,13,0,2,0,0,38
1955,4,0,1,0,2,25
1956,6,0,0,0,0,39
1957,9,0,0,0,1,62
1958,3,1,1,0,0,42
1959,7,0,0,0,0,43
1960,8,1,5,0,1,51
1961,5,0,2,0,0,41
1962,13,0,2,1,1,56
1963,14,0,3,0,1,68
1964,9,0,1,0,0,78
1965,20,0,2,0,2,164
1966,24,0,7,0,2,160
1967,34,1,2,0,4,147
1968,37,1,4,2,1,175
1969,23,0,9,2,1,120
1970,23,0,9,1,5,109
1971,25,0,5,1,2,97
1972,22,3,8,0,6,119
1973,29,0,8,1,0,188
1974,39,2,7,1,5,219
1975,53,4,10,1,4,245
1976,41,3,4,0,9,224
1977,45,1,12,0,4,206
1978,57,2,11,0,7,258
1979,39,1,6,1,7,189
1980,34,2,6,0,10,196
1981,23,1,4,1,2,133
1982,38,2,6,0,3,134
1983,20,3,4,0,4,121
1984,29,1,8,0,4,145
1985,36,0,9,0,2,171
1986,28,3,3,0,6,151
1987,24,3,11,2,7,177
1988,37,4,9,0,3,189
1989,41,0,6,0,4,199
1990,45,3,14,2,4,191
1991,42,2,8,1,1,181
1992,47,5,10,1,6,182
1993,53,2,11,0,15,229
1994,74,1,17,1,4,321
1995,127,3,18,1,14,917
1996,125,8,29,2,24,645
1997,164,9,40,1,32,1007
1998,257,12,61,1,30,1403
1999,402,17,96,1,34,2252
2000,384,24,102,3,78,2183
2001,386,36,135,3,117,2449
2002,450,47,167,3,130,2437
2003,523,50,294,7,130,2956
2004,588,43,265,5,110,3249
2005,505,48,183,3,116,3228
2006,490,37,143,4,163,2877
2007,478,27,160,9,125,3468
2008,514,17,119,15,139,4020
2009,507,14,134,6,200,3672
2010,462,16,137,4,118,3543
2011,532,13,127,3,51,4349
2012,686,19,242,6,80,6311
2013,648,31,246,6,50,6044
2014,218,15,47,3,21,2033
