"STATE","FIPS_STATE"
"AK","02"
"MS","28"
"AL","01"
"MT","30"
"AR","05"
"NC","37"
"AS","60"
"ND","38"
"AZ","04"
"NE","31"
"CA","06"
"NH","33"
"CO","08"
"NJ","34"
"CT","09"
"NM","35"
"DC","11"
"NV","32"
"DE","10"
"NY","36"
"FL","12"
"OH","39"
"GA","13"
"OK","40"
"GU","66"
"OR","41"
"HI","15"
"PA","42"
"IA","19"
"PR","72"
"ID","16"
"RI","44"
"IL","17"
"SC","45"
"IN","18"
"SD","46"
"KS","20"
"TN","47"
"KY","21"
"TX","48"
"LA","22"
"UT","49"
"MA","25"
"VA","51"
"MD","24"
"VI","78"
"ME","23"
"VT","50"
"MI","26"
"WA","53"
"MN","27"
"WI","55"
"MO","29"
"WV","54"
"WY","56"
